"geneID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CDH17",7.65962819296981,5.52816246967676,11.6603533853029,7.76741037107583e-10,3.79546511919003e-08,12.5805478958463
"HEPH",6.8427668411036,2.07034284065952,12.2356888609474,3.57378819036591e-10,2.01267876432853e-08,11.4540331986858
"CEACAM7",6.33994759956974,4.34064363112032,6.38498339826556,5.11158781600014e-06,5.68044428615868e-05,4.28805960129679
"PIGR",5.42904442972717,2.52677178199145,8.96290816089924,4.58663747148536e-08,1.06203830371972e-06,8.18185303454894
"MGAM2",5.41687988008446,3.54285343666777,6.34234041569175,5.56752853793382e-06,6.09037216441797e-05,4.19728996412404
"CDH6",5.34192398388123,2.05783022284327,10.3179973523589,5.36691493701884e-09,1.85277055656928e-07,9.56831665303406
"C6orf15",-5.07313756216595,2.49733983346946,-3.63142400260006,0.00190253832513192,0.00742196562351875,-1.22077982375747
"BPIFB1",5.05520971659818,0.731457297040742,4.59534827966609,0.000223195249589748,0.00129033843510106,0.723567435779146
"CYP4F12",5.01606439287513,2.77506120713212,8.04786029122694,2.21137548381326e-07,4.0152174255959e-06,7.02969683736736
"CEACAM5",4.93636408086986,8.49681119436452,11.984441760768,4.9979160710755e-10,2.61524812994742e-08,13.0999446606919
"ALDH1A1",4.85611683386984,2.31095529194558,12.1875671667199,3.80927492933491e-10,2.12593857878658e-08,11.8978371991188
"FAM134B",4.85535506827859,0.591440308260755,11.2956631262962,1.29053358441632e-09,5.71749395682575e-08,10.3629820120178
"CLRN3",4.83320717585751,2.56256965242386,8.59297868331907,8.55404273052199e-08,1.80750050765291e-06,7.80214917769263
"ANKRD1",-4.75296825430731,2.74286370868119,-17.9651721290696,5.81262784169278e-13,1.88428382058387e-10,16.6340012054134
"TM4SF4",4.68930409216458,0.437790303733535,8.27566941059094,1.48002463555173e-07,2.87587827940322e-06,6.86532939389052
"CP",4.68259511254474,2.85125757690448,10.1372585193446,7.060622205655e-09,2.27773615862526e-07,10.0718653864126
"TMEM45B",4.51078173498051,5.18748916722255,17.8098612898806,6.74474586509449e-13,2.03737312029479e-10,19.3753732567357
"CREB3L1",4.49974739264231,3.60728369956553,7.80791658127093,3.40035050840456e-07,5.76454829173533e-06,6.86079915544982
"ADRA2A",4.49663431512545,1.33619818753478,11.4406937671962,1.05301453357925e-09,4.76041366183733e-08,10.5845337096782
"NFASC",4.42197702359178,1.98571010876805,5.21420668716595,5.80727553890319e-05,0.000427851991061876,1.9639729186378
"FAM3D",4.40224854111823,2.94821098373799,5.93723558176567,1.26873561775043e-05,0.000121840788262435,3.41848038792656
"UGT1A10",4.37743827235865,1.61568508371956,4.45185330402401,0.00030634941612667,0.00167009437643132,0.44961177921798
"LINC00483",4.28041777056918,2.09095077925196,12.9409680930544,1.43438730679796e-10,9.82703180136684e-09,12.6072973545017
"CFI",4.27861508199278,1.59478565915081,5.5062274554372,3.11834053951597e-05,0.000256313321649392,2.48151504810939
"RSL24D1",-4.12062932400094,0.411186124893529,-6.02609069964033,1.05709875175583e-05,0.000104537942779663,3.35623187011777
"MYO1A",4.12022702194332,4.13059182178599,10.2526986062383,5.92359575256046e-09,2.00332089433285e-07,10.766886934339
"MAN1A1",4.11755366773756,3.99392650820482,5.24463776974588,5.44049919760404e-05,0.000406462477995252,1.95261999248447
"MYO7B",4.11611407795298,5.07081964560922,23.6092160040639,5.09627999846101e-15,5.36069919190647e-12,23.5305456227231
"PARM1",4.06757443021566,4.62047610622647,8.49652003349204,1.00917075584247e-07,2.06352131013881e-06,8.0761108570799
"ADGRG7",3.99409288196706,2.9338217966625,8.54717609551531,9.25120873865296e-08,1.91821864813473e-06,7.97200868034737
"VSTM2L",3.99067855877007,3.01956835418613,7.45979575736435,6.43457933295974e-07,9.77554010784059e-06,6.21923334180777
"HSD11B2",3.97540932409509,1.03004622773342,4.36235492739666,0.000373490553879631,0.00197296720408084,0.265344987678318
"MUC13",3.94242771531803,6.99502785134251,23.471299943831,5.646662304318e-15,5.36069919190647e-12,24.4186079999261
"SYTL5",3.93394293237296,3.44062137220344,8.77423166548967,6.28974001259525e-08,1.38865339713295e-06,8.44765772213387
"FRMPD3",3.93152048018768,2.38921837272827,6.13862196223391,8.40193370026518e-06,8.61652012424571e-05,3.77576409217963
"FER1L6",3.87879978350097,3.69766887624906,5.02956969758417,8.64544549609811e-05,0.00059352590954876,1.52666589959332
"TSPAN8",3.86942508494238,5.18045395846873,13.840738154249,4.73956629366618e-11,4.09049192266995e-09,15.5396206190143
"ACE2",3.86919302243071,6.61269554230663,31.5297340246837,3.1026461050881e-17,1.03093173456815e-13,28.9220676014478
"DNAH5",3.80744506737465,1.46513034078666,2.23753331970102,0.0381036786278963,0.0856478932256671,-3.84519041197335
"DEPTOR",3.8017529398833,2.56089256358533,7.06201993691452,1.36046483011569e-06,1.81728020674046e-05,5.4724666467349
"AGMO",3.78633557589411,1.55446702493726,7.06781211353106,1.3455060716086e-06,1.80455309765387e-05,5.23774372504827
"CA12",3.78373595129939,3.0632737457498,12.6996359034248,1.95127950441192e-10,1.2650954094214e-08,13.4001883523334
"HNRNPA1P48",-3.76531850628322,2.16528655308358,-5.03941121352465,8.46326632530894e-05,0.000583127385845936,1.63780820223049
"MARCH4",-3.75923516029204,3.17728780542509,-8.65848803618836,7.65072015327349e-08,1.63481867455238e-06,8.21087964352559
"CAV1",-3.74874847968352,6.23827462632135,-14.0494073951418,3.69771450414707e-11,3.43680583738593e-09,15.8612779556647
