"geneID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CDH17",6.50852947544085,5.55433581190957,11.0381863814042,1.95990782469145e-14,9.5989904158144e-13,22.6819270614784
"CEACAM7",5.66426642892509,4.78550654048193,14.2190694141609,2.55102785343651e-18,2.95731999596548e-16,31.1832047758976
"C4BPA",5.55655633408045,1.97549824897845,13.649260699285,1.15464960964067e-17,1.23645359893386e-15,28.9794523712803
"CP",5.37499738932617,4.01374663173722,8.47405018185398,6.72550932713152e-11,1.48572615135724e-09,14.7360081378182
"TM4SF4",5.15512152964888,1.71519200923219,7.21532612570732,4.7046870345222e-09,6.74783488856101e-08,10.6059100690307
"MUC5B",5.10589748039268,3.19275164438255,2.79985507037328,0.00748731988005376,0.0202157636761452,-2.87610245147352
"MUC17",5.04601598067781,2.59801917896772,4.31242573635472,8.62299531961388e-05,0.000417792058507059,1.29857248074568
"BPIFB1",5.04336099018231,3.1476661494161,3.82918264792212,0.000392550654747557,0.0015797038450287,-0.15714467739625
"ALDH1A1",5.00181146606201,4.40755182047791,4.71798673274463,2.30914760194956e-05,0.000131138827407796,2.37067674455948
"ADRA2A",4.977152927173,2.74937799196897,6.43494450439949,6.84311011512199e-08,7.3591097374197e-07,8.06774610780262
"FAM3D",4.8699204749809,3.05029149362214,10.9019392415488,2.95937329402356e-14,1.37987604956759e-12,21.9524606396862
"ANKRD1",-4.59219313955593,3.15245159524551,-11.0715065411652,1.772667240282e-14,8.71572889035152e-13,22.6716072379415
"KRT20",4.5194629588992,4.60478018288538,2.42764599341392,0.0192311560925838,0.0448382193677333,-4.01876678587237
"ANXA10",4.40339590876012,3.04862717937496,3.42444760400245,0.00131813086443148,0.00452606021819461,-1.31192281897084
"MS4A8",4.39058071188169,2.2081304773153,13.379135243788,2.39483721400818e-17,2.4016796060482e-15,28.3052519456979
"FAM134B",4.28760220982207,2.06722035422433,6.82136064543867,1.81416929783498e-08,2.26520190192122e-07,9.32576337636169
"CREB3L1",4.21015231238033,4.474815920486,12.9329823319682,8.14944526001843e-17,6.86509268703953e-15,27.9922862606393
"DEPTOR",4.19901923995427,2.90822083533838,14.6158765056999,9.11908946714378e-19,1.11872635443523e-16,31.5617377553319
"DEGS2",4.1917117624792,3.05261707331935,9.69108209819757,1.27886602342509e-12,4.27506642116388e-11,18.4830372225559
"CEACAM5",4.17144307309082,9.30752886434205,15.1541931229395,2.32534354432096e-19,3.15946677699351e-17,33.8774110341253
"MYO7B",4.15582999605985,4.9748360850088,23.213828837072,8.51341991480805e-27,2.15151148087029e-23,49.8230649217786
"CLRN3",4.12515005560739,2.75587882701004,12.5323113548974,2.5002979610398e-16,1.89999133034612e-14,26.3866450260781
"PIGR",4.12040945526092,3.66934017544591,8.61376003843034,4.23273538827438e-11,9.8613695149165e-10,15.1951296254638
"CAV1",-4.08267162498034,5.64154700587326,-15.8827938611831,3.85184421349772e-20,5.93559798558014e-18,35.6967324916547
"ANXA13",4.0496690565966,1.16399186844974,9.9833529922054,5.06653570348849e-13,1.81361884275582e-11,19.1233090375906
"FER1L6",3.98633737195448,4.71135550821136,8.19109927485301,1.72797811513878e-10,3.51040698760347e-09,13.8038465947951
"ADGRG7",3.97909736266717,1.77851308341462,5.96945107813312,3.38418213478815e-07,3.10548478251148e-06,6.54856829340594
"MAN1A1",3.90865676444816,4.09647311178813,10.3893229227589,1.42501458833609e-13,5.88447200595255e-12,20.7433399213676
