"geneID","ERR978108","ERR978109","ERR978110","ERR978111","ERR978113","ERR978115","ERR978116","ERR978117","ERR978190","ERR978192","ERR978195","ERR978215","ERR978219","ERR978220","ERR978222","ERR978224","ERR978118","ERR978120","ERR978121","ERR978142","ERR978144","ERR978151","ERR978107","ERR978193","ERR978112","ERR978212","ERR978217","ERR978143","ERR978147","ERR978221","ERR978148","ERR978223","ERR978149","ERR978225","ERR978183","ERR978184","ERR978185","ERR978186","ERR978187","ERR978188","ERR978191","ERR978194","ERR978213","ERR978216"
"MUC3A",2.6874580846173,3.34907731110086,1.95774329022806,2.68263660959255,2.38568711704725,3.69141577773091,2.38177043497289,3.16572481164346,4.53713108436409,5.4646572671207,5.2198682614988,7.96565349164955,7.82927932106582,7.75504478117769,7.929363045823,7.93187191052386,3.66288806359815,3.16332020846671,4.25531309425515,6.92203044710695,6.57542508585225,6.33418544404207,2.38881238134962,5.19399765819641,2.73111904331114,7.92848129824595,7.87133945251331,6.62442198673572,6.27985128565627,7.76992948781646,6.46569375718412,7.75426371017034,6.1743193118631,7.63560816745662,5.3904261422991,5.73428570806556,5.43227352811602,5.41605165579427,5.36804531817564,5.31647952215592,4.8492234250962,5.0422193149627,8.04139548270366,7.88570903283012
"MYC",4.62692246047337,4.84394833076926,4.33374754332876,5.14358930984666,4.88571544332505,5.61041675753466,5.63943569241533,6.09213571509323,4.92641014127895,4.88877503490282,3.82801890632094,4.22524499951198,3.96754747307521,4.35543451406387,4.32778200761759,3.68372048411513,6.17638624888712,5.52060018129351,6.01424899740102,6.03964232865175,5.47846471398236,5.86258862053109,4.33718346557751,4.84826955860105,5.11109179299209,3.98745816788334,3.68754269643648,5.57832203420025,6.02570711057837,3.68336778231957,5.79793301021744,3.56054288625049,5.31171951409439,3.32595310162383,1.74748004727322,2.36636173781983,3.64862981935339,-2.5443962612881,2.40244864967884,-2.52703697706416,4.77980917745169,4.50651013178071,4.29143918645613,3.85815658749438
"MYO1A",2.60764702938475,2.12833986726801,1.28201862718134,2.47426245180131,0.0166948579424229,2.01089960958927,2.24729667066874,3.63913654966194,5.99710445388301,5.55901207899317,5.51857151592402,3.76523081653708,3.95348451518202,2.68784006179177,3.42659496400291,3.07568336794823,2.37526771632034,1.30103661675936,0.495105054155076,1.31591824653385,-1.39299877389941,-1.39323601967787,2.26361667163197,5.34860103110601,1.34299794956349,4.13286605564397,3.59522630399022,0.734067633805498,-2.56958411534173,3.31415665241912,1.30280628262945,3.33395228524369,1.03613189498309,3.45531098155027,6.45066819381619,6.4602596172593,6.33804313922962,6.66116805020437,6.45122130752431,6.6220258636269,5.70801980917917,6.16873113088668,4.0814874347887,4.86084164747317
"MYO7B",2.25618500348967,3.68130963595925,2.28010445121277,2.71601623849033,2.46371811770342,2.35870035153401,2.86377064807542,2.69787086544407,7.01895997423758,6.97159155614249,7.17218102011232,7.06394884207976,6.77197931802574,6.17977134648024,6.47946164467603,6.39277406797893,2.21730526818172,3.19793522748357,3.27483828825424,2.71069254035426,3.2893776573518,1.68244657707693,3.34931412957689,7.21187787773526,3.39369744697668,7.03496292649404,6.71190085788047,4.18854125314613,2.24095870823461,6.20344745247853,1.56935932147757,6.49913476935753,1.73242613530865,6.23995674085375,7.2139150829454,7.3586816417077,7.331886994086,7.2010923795561,6.93031047270342,7.02665092802026,6.78264640969197,6.94618925902223,6.97451445168592,7.01038386110333
"NCMAP",1.50115628898988,1.18590488190016,0.586294844349007,0.974271690615664,2.16486338859751,1.28889819998913,1.03412768598966,-0.209594295667108,2.72040801963781,2.82954155779299,3.22537256871899,5.52606017923067,5.25147711765664,5.2968622430977,4.99239672492253,5.06649467615315,0.282408421537215,-0.253695053090374,0.413728185640096,3.26087467479293,2.79040714060133,2.49408757544208,1.22108026600545,3.05943181811409,1.71661092926929,5.63730121250898,5.61370938905972,2.96664412379989,2.49186354400372,5.1709714185004,2.56290829483825,4.87926665571235,2.71057090209776,4.93741310846356,3.79001984110367,3.69768355970204,3.75200299766791,3.57278194819596,3.50832322867687,3.88072713044158,2.71159453492325,3.15398936521327,5.27182641774338,5.29771988991963
"NDNF",1.47245339066756,1.47000801023906,2.267951523763,0.864236855994344,1.71087295737514,1.05878996812752,1.04300545611469,1.13466485957494,4.09160019829481,3.9700707539353,4.07853400135195,0.868495846288241,1.09933143771816,2.10646824874655,1.15391646360697,3.06363998743004,0.153165235498983,0.151024465184707,0.16636739203339,0.165260027354374,-2.56576195650243,-2.56851138423158,2.16785352821333,3.79421561623695,1.38718011472515,3.42091120624427,1.36953635763384,-2.55697137467362,-1.29132055663859,2.08430507867768,-2.58390372757323,0.170741201237099,-2.58321426810836,1.17696251185841,4.85353597694,5.37541744176096,4.96746257489972,4.75624870221082,4.9748266846721,5.0131580545068,4.61969534089968,3.45351007558959,3.07903678497069,1.60332679431492
"NES",3.37874862117477,3.18049413006395,3.72375508849901,3.32740370391201,3.08480577259048,3.61403351209509,3.71198736726422,3.33575184581061,1.68816399896163,1.28076127367812,1.4946940638209,-0.275588916281768,-0.956226390345145,0.242454113549901,0.596079380269948,0.608586070363976,3.27841233171682,3.33335182729023,3.38682945459519,0.878623712119573,0.22832940639817,1.3281323764759,3.48156612648286,1.48869117637511,3.1176244011513,0.600875707140913,-2.57146884047608,1.8217087998641,1.12082014740037,-0.982478513774207,1.10621832295888,-2.56242425606251,1.49104977676197,-0.963830485919657,0.645971675754594,0.923577040163977,1.36243674751998,1.15693477228362,0.959798868266499,0.646346171044046,2.34733986319254,1.97770900603351,-0.251948345463868,-0.991221435182033
"NFASC",1.83152166683633,1.85985540578245,1.45514757460392,1.64592159315766,1.41160091668962,-0.780776879148858,-2.5693045091088,-0.926358449416454,3.09986717453088,3.85713754633926,4.00794891875818,1.00919309052231,1.24955822554102,1.55541362168253,1.03304206708439,0.00343156970421891,0.0317916709541496,-0.801017998673987,-1.0183545817403,0.949452830006067,0.172459025634855,-1.54005295722211,2.76892905392628,2.89355350789387,0.730205303510144,1.42572448286609,1.64499163988541,-1.33914893937469,-0.260587518658698,1.82421801562584,-2.58390372757323,0.976167664139548,-0.84056352743643,1.05607927698769,4.05788967871599,4.03586458681438,4.04898098896123,5.58771808637874,4.80385730664262,3.63173471683469,4.31690886889681,2.17140321241186,-0.898571390091153,1.4955039516465
"NME1-NME2",4.9907151162991,5.2699465199821,5.17229425567741,5.35043285381965,4.40290846956051,5.2371948452186,5.06037006395596,5.27381160986198,3.62562390593286,3.3408244902311,3.9769090993937,4.7441246856828,4.30781027036983,3.86353315116236,3.81677842321511,4.39982375106987,5.66010122005433,4.78805947187079,4.62546431752385,6.1875496947467,6.14210167435312,6.14306832952811,4.077940525327,4.03273469628133,5.19392011945202,4.6864591527097,3.95857144286727,6.2847808728994,6.33760954722916,4.54075828883988,6.22512330451482,5.17578591287099,6.03532697520715,4.07338163567771,0.056392677457778,2.75067016788798,-2.53949474918998,3.01217783624042,2.79874099546252,2.91733911251912,2.19126662177579,3.59095404079216,3.87599861123437,4.34948409849543
"NR3C2",0.164299020495721,1.80694693358022,1.24609967041356,1.15264877684016,0.704884305221979,0.187614752715109,0.335473141340169,-1.29976789547147,2.52949968872382,3.04549283473343,2.91578039730773,5.01390382564912,5.25696826532562,4.82777194611193,4.66549126216697,5.04966819332608,0.689355168777907,0.0871107032609211,0.17324839687198,4.05698408410181,3.5566058908398,5.45711028927089,1.06644164121281,2.99108311945149,2.50901577962959,5.04326390484398,5.26173167896263,3.82670405488443,5.94612700515256,4.77433007094013,5.75119311598713,5.52078007733316,5.29686115958318,4.89376887832355,4.50795364320984,3.57545476850428,4.9415771582982,4.53170961783828,4.52029123834936,5.05540694603617,2.25690525298792,0.512741271007569,4.89212304635891,5.1259975373749
