geneSymbol,ERR978118,ERR978120,ERR978121,ERR978193,ERR978107,ERR978112,ERR978184,ERR978185,ERR978186,ERR978187,ERR978191,ERR978194,ERR978116,ERR978117,ERR978119,ERR978195
KIF11,7.382271877892509,6.685864285948904,7.2121186092364935,5.69957881267874,6.839055524434112,6.949450490384648,3.294473237975564,5.2996532154509275,4.609279553535862,5.9937413388217475,5.986638568480312,5.707805491252256,6.848281373484622,7.334501721777351,7.110648191545741,2.190410806017614
HNRNPA1P48,4.055053713948465,4.294199375995244,3.6468055192715787,-2.402361029028402,2.735639503370042,4.419820047888293,-2.3902458558747863,1.779936259898357,-2.5532812326906207,2.6938288763298956,2.6301663398940893,2.915144839271351,4.752899825846615,3.799271333510771,4.608277996085331,-0.3405706643789511
MSN,6.728288653362956,6.925591662123946,5.475806267932739,5.621625334613245,7.223638668512482,7.145990282662542,-2.5488313617922063,4.575304480171959,4.394062388543151,4.165480703318427,5.390014599292156,5.58807573092124,6.627947917611702,6.8133981542600015,6.810229435205974,5.794652482684509
ADK,4.218849164909475,4.246557049265308,3.1841094437505064,1.6197806071017282,4.04305693460089,3.960689455617853,-2.5488313617922063,0.9644671298936219,2.897816520879218,1.7353241702719155,2.9866519301191166,2.7785025126680916,3.5827818794260713,4.460874651439662,3.341433491363699,3.426148821994611
HAS3,6.2735082230421275,5.956321342368922,5.83685786343384,4.229338636348749,4.619195365472048,4.615872295956503,1.872056917505121,2.363372815296657,3.3662074432910924,1.784321653058893,4.548883436001614,4.591631302981,6.105582229334979,6.047518713735255,5.831728775657415,3.8754631262167947
GSDMA,4.510114961055076,3.9432987254724514,4.30211241049845,2.0658527642284286,2.6915218506071565,2.6496414708961367,-0.26531954140208275,0.6682732495024005,1.1235882880304742,1.1630815371808185,3.1890908544051095,2.7829674114375367,4.524342636632508,4.245029704850902,4.303584448120606,2.7271845150802
IL1A,5.626924434451755,5.76812286179666,5.796603164657192,3.7155097413010316,4.664142414172098,4.4920399860278675,0.9171618641886662,0.9063578172956533,1.3571197186840016,1.5771251945462212,3.239156737624558,3.720294963075968,5.715510648768132,5.620391900843523,5.622087303733513,3.9487791707390434
AKAP12,7.372976213802761,7.304145269471979,7.396292698427225,6.439293900383631,6.9760307518493585,7.046345423243564,4.179283732233282,4.330495486339892,4.391018636488507,4.37299263867736,6.100944785990515,6.199560921724258,7.288641722944478,7.37723507891613,7.440162065395477,6.188937358843494
MICB,1.8591757646045803,2.5473236336095297,2.688882862165947,0.7137682697958948,2.371786647792872,-0.3327297613302731,-2.5488313617922063,-2.5580097206584744,-2.5532812326906207,-0.8958300927689891,1.2705322592164947,0.8885789586159356,2.2052184754463715,1.7762296657886925,2.2995508959039586,1.3069888994298822
TMEM27,2.1431205228953925,2.6543320763600544,3.1283491954136378,1.4627959906675734,0.5248327398136134,1.6503737811778945,-2.5488313617922063,0.2127317255693082,-2.5532812326906207,-0.9264927348413772,0.8686743682902824,1.137297899507934,2.976202064277844,2.9607115444467564,3.066139857565106,2.5033511582542176
